Date,Close,High,Low,Open,Volume
1/5/2015,734.7776489,747.1707484,728.0177765,745.6344137,7380400
1/6/2015,707.9431763,721.7701914,707.0213753,715.7272737,11456000
1/7/2015,728.5299683,732.3195941,702.8219657,705.5873684,10361600
1/8/2015,750.4482422,755.5693575,733.6509839,737.7478761,10652000
1/9/2015,743.8934326,757.4131811,740.4110732,755.6720014,11038800
1/13/2015,739.7963867,742.9714785,724.7403063,729.5541551,4946800
1/14/2015,725.0475464,739.3866701,723.1015225,729.4517058,6354000
1/15/2015,757.8226929,758.2323821,723.4087957,724.8427081,12282800
1/16/2015,743.9956665,744.6102004,727.8129414,737.6454832,11002800
1/19/2015,761.3051758,763.6608894,746.9660496,752.8041224,6211200
1/20/2015,774.619873,775.5416738,762.1243522,764.0703759,6204400
1/21/2015,758.3348389,764.6850226,751.3701213,764.6850226,7338000
1/22/2015,751.0629883,756.1841051,746.2491385,753.3162797,6480400
1/23/2015,763.1488037,764.787561,754.7501724,754.8525947,4222800
1/26/2015,768.2698364,768.781948,748.9120176,756.0815801,3581200
1/27/2015,786.7057495,789.3687295,775.7465625,776.3610964,8675600
1/28/2015,777.1804199,781.4821566,770.3181258,776.873153,5440800
1/29/2015,769.0892334,776.1563738,763.9681172,765.0947627,6787600
1/30/2015,769.3964844,781.4823184,768.3722612,776.3612023,6634400
2/2/2015,762.6363525,767.2453555,754.8522587,758.1297719,4412400
2/3/2015,741.6400146,767.6552838,738.874612,764.0705026,10022000
2/4/2015,761.4074707,765.6067855,747.068347,750.9603948,7078800
2/5/2015,748.1950073,760.8953743,747.4780511,755.7742586,6885200
2/6/2015,704.5629272,716.8536019,698.8272791,715.7269568,18889200
2/9/2015,711.630127,712.7567722,700.5685188,708.0453465,9597600
2/10/2015,713.9858398,719.4142216,705.5872114,712.8591946,7709200
2/12/2015,728.9394531,734.2654123,719.2093354,719.2093354,8148000
2/13/2015,728.6323242,735.1873522,724.5354318,725.3548102,6658800
2/16/2015,722.1798096,727.7106151,717.9804943,727.6081928,6239600
2/17/2015,724.5354614,726.0717962,717.263477,719.0046564,4924000
2/18/2015,749.9362183,752.1895093,727.7105751,727.8129974,9440000
2/19/2015,756.7985229,757.4130569,749.3216936,751.2677177,6630400
2/20/2015,767.8600464,771.7520941,758.2323494,759.3589948,6291600
2/23/2015,776.258606,782.7112108,772.8786701,777.3852512,5801600
2/24/2015,772.9813232,777.1806388,767.5529398,777.1806388,5284000
2/25/2015,773.6981201,780.3555702,772.0593632,776.3611001,5238800
2/26/2015,777.7949219,778.8191448,770.6253611,771.8544287,5294800
2/27/2015,774.3127441,779.4338602,768.5770942,775.6442343,7788800
3/2/2015,771.2399902,779.6386196,768.9866994,777.9998627,6649200
